Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,REPLICATE
SRR10352197,RNA-Seq,300,3968168400,PRJNA579844,SAMN13134449,Model organism or animal,1835765969,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B3-B3/b3-b4,SRX7061997,NextSeq 500,6176*a,Sample_4178_6176_a_primary_secondary_bud_stage_B1_approx6months_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:00:00Z,1,Sample_4178_6176_a_primary_secondary_bud_stage_B1_approx6months_naive,not applicable,SRP227136,whole system,
SRR10352198,RNA-Seq,221,15242160271,PRJNA579844,SAMN13134447,Model organism or animal,10731112341,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061995,NextSeq 500,Sc109e.7,HISeq-Sample_sc109e_bud_stage_a_IL2381-10,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:14:00Z,1,HISeq-Sample_sc109e_bud_stage_a_IL2381-10,not applicable,SRP227136,whole system,biological replicate 3
SRR10352199,RNA-Seq,302,270825748,PRJNA579844,SAMN13134445,Model organism or animal,166356468,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061993,NextSeq 500,Sc109e.7,A1M1B-Sample_sc109e_bud_stage_a_IL2381-10,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:53:00Z,1,A1M1B-Sample_sc109e_bud_stage_a_IL2381-10,not applicable,SRP227136,whole system,biological replicate 1
SRR10352200,RNA-Seq,300,4613439000,PRJNA579844,SAMN13134443,Model organism or animal,2088505214,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061991,NextSeq 500,6089e,Sample_4111_2_6089_e_primary_bud_1PrimaryBud_stageA2_naive_young_2weeks,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:02:00Z,1,Sample_4111_2_6089_e_primary_bud_1PrimaryBud_stageA2_naive_young_2weeks,not applicable,SRP227136,whole system,Replicate 1
SRR10352201,RNA-Seq,300,4973585100,PRJNA579844,SAMN13134441,Model organism or animal,2441228430,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B to B,SRX7061989,NextSeq 500,Sc109e.109,3900_Sc109e_Sec_bud_D_early_mid_kp,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:01:00Z,1,3900_Sc109e_Sec_bud_D_early_mid_kp,not applicable,SRP227136,whole system,
SRR10352203,RNA-Seq,202,354155692,PRJNA579844,SAMN13134446,Model organism or animal,218747359,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B1-B2/b1-b2,SRX7061994,NextSeq 500,Sc109e.7,A1L34-Sample_sc109e_bud_stage_a_IL2381-10,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:53:00Z,1,A1L34-Sample_sc109e_bud_stage_a_IL2381-10,not applicable,SRP227136,whole system,biological replicate 2
SRR10352204,RNA-Seq,300,5727627300,PRJNA579844,SAMN13134459,Model organism or animal,2764723614,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",A3-A4,SRX7061947,NextSeq 500,5432b.1,2372_5432b1_zooid_naive_stageAtoB,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:01:00Z,1,2372_5432b1_zooid_naive_stageAtoB,not applicable,SRP227136,whole system,
SRR10352205,RNA-Seq,202,10576501436,PRJNA579844,SAMN13134439,Model organism or animal,6996363570,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",b5-b6,SRX7061986,NextSeq 500,5491b.2,HISeq-Sample_3411_IL2574-4,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:25:00Z,1,HISeq-Sample_3411_IL2574-4,not applicable,SRP227136,whole system,
SRR10352206,RNA-Seq,300,3609019200,PRJNA579844,SAMN13134437,Model organism or animal,1836994542,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",b5-b6,SRX7061984,NextSeq 500,944a x BYd196.6-4.180 + 5869*-2,4017_944axbyd196_stageC1to2_SecBud,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:00:00Z,1,4017_944axbyd196_stageC1to2_SecBud,not applicable,SRP227136,whole system,
SRR10352224,RNA-Seq,300,4847587800,PRJNA579844,SAMN13134463,Model organism or animal,2533047747,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",TO,SRX7061961,NextSeq 500,Sc109e.109,3902_Sc109e_olds_zooid_D_early_mid_kp,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:01:00Z,1,3902_Sc109e_olds_zooid_D_early_mid_kp,not applicable,SRP227136,whole system,
SRR10352225,RNA-Seq,300,2931478500,PRJNA579844,SAMN13134461,Model organism or animal,1599796707,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",A5-A6,SRX7061959,NextSeq 500,Sc109e. 7 (? Vs. 5491b.3),3396_Sc109e.7_zooid_stage-C,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:58:00Z,1,3396_Sc109e.7_zooid_stage-C,not applicable,SRP227136,whole system,
SRR10352234,RNA-Seq,300,3991726200,PRJNA579844,SAMN13134460,Model organism or animal,1881733101,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",A5-A6,SRX7061948,NextSeq 500,5423b.1,2375_5423b1_zooidsremains_naive_stageC1,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:59:00Z,1,2375_5423b1_zooidsremains_naive_stageC1,not applicable,SRP227136,whole system,
SRR10352235,RNA-Seq,202,11618802246,PRJNA579844,SAMN13134458,Model organism or animal,7733284003,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",A1-A2,SRX7061946,NextSeq 500,L11HMBY15 x Sc6a-b-40.1,HISeq-Sample_3435_IL2578-12,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T20:13:00Z,1,HISeq-Sample_3435_IL2578-12,not applicable,SRP227136,whole system,
SRR10352236,RNA-Seq,300,423034200,PRJNA579844,SAMN13134456,Model organism or animal,195815771,STANFORD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",B to A,SRX7061944,NextSeq 500,944axBYd196.6-4.231,Sample_4145_944axBYd196_6_4_231_primary_bud_5primaryBud_stageD_midLate_old_14years_naive,PAIRED,RANDOM,TRANSCRIPTOMIC,Botryllus schlosseri,ILLUMINA,2020-11-18T00:00:00Z,2019-10-27T19:53:00Z,1,Sample_4145_944axBYd196_6_4_231_primary_bud_5primaryBud_stageD_midLate_old_14years_naive,not applicable,SRP227136,whole system,
