"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AF201122.1" 34.0837884412689 8.76461374330488 2.30407565629183 3.80396091568043 0.000142400657707493 0.00543819960949714
"AF201134.1" 48.4069541381205 -6.97289922608518 2.4215424716195 -2.8795279487383 0.00398270995509485 0.0345116898968149
"AF201152.1" 167.877482830534 5.88380945161591 1.83845706017447 3.20040624231796 0.0013723400993541 0.0201931747082122
"AF201259.1" 189.650575751667 -8.94330544088456 2.42219131555795 -3.69223743122227 0.000222289790547807 0.00724574250410628
"AY159281.1" 49.5101633162517 -7.00598747665932 2.42921020373317 -2.88405979272301 0.0039258420492068 0.0343050898223078
"EE743562.1" 46367.1194802473 -5.86651187258848 1.74909761078852 -3.3540220033482 0.00079646029137858 0.0152171848515636
"EE743578.1" 46.4698323705991 -6.91322189225229 2.44553435508531 -2.82687580236882 0.00470045544336284 0.0377211856850374
"EE743591.1" 307.588697140621 -9.64063774569652 2.35516743643921 -4.09339803044842 4.25097067670177e-05 0.00240112951940932
"EE743614.1" 5337.21990314682 6.84654811263224 2.11357761210094 3.2393171054772 0.00119816281860856 0.0189225347676869
"EE743626.1" 7138.29098237438 7.31852417607558 2.01856881699895 3.62560053164607 0.00028829071386908 0.00834699824577463
"FF339616.1" 67.9540835560145 -7.46197907079671 2.40480219256486 -3.10294921298208 0.0019160251804209 0.0240353650064833
"FN178505.1" 37.1305576189064 8.57852749088851 2.18204208274229 3.93142165255924 8.44450166178893e-05 0.00370402804390703
"GO355514.1" 1249.81971810505 -5.55791690086602 1.87458353967808 -2.96488088326032 0.00302800148908118 0.0303027420211127
"GO355518.1" 46367.1194802473 -5.86651187258848 1.74909761078852 -3.3540220033482 0.00079646029137858 0.0152171848515636
"GO355542.1" 59.8415869352662 -7.27988454259722 2.47863867597186 -2.93704952366355 0.00331351184253487 0.0318375392376551
"GO355609.1" 59.2850149146931 4.88632276502229 1.75073530570675 2.7910117246706 0.00525435689082368 0.0398308529241065
"GO355647.1" 36.8520282611726 -6.58053947236837 2.47034657289937 -2.66381225394014 0.00772606697284822 0.0467921260118202
"GO355648.1" 257.878742376484 8.35088037758523 1.72133531046616 4.85139666095835 1.22595081559792e-06 0.000158006741325281
"GO355676.1" 44280.7908088283 -5.9334656809094 1.81951304157883 -3.26101849523474 0.0011101279898344 0.0182252784041188
"GO355707.1" 2421.30266445298 5.51190657311169 1.88328885963211 2.92674516971783 0.00342529411967143 0.0322473507976052
"GO355722.1" 115.935882499221 -8.23235329840415 2.5667763166825 -3.20727335876477 0.00133999599744005 0.019954017422703
"GO355815.1" 390109.461137882 7.73921849580773 1.93062861550093 4.00865212173377 6.10662963856059e-05 0.00299011520249694
"GO355816.1" 85.2937890784864 -7.79088025435209 2.75054431568698 -2.83248672268937 0.00461874842924284 0.0374475966284165
"GO355821.1" 71.1289110361712 11.7760044530172 2.40493807672174 4.89659362417744 9.75122000354255e-07 0.000136675537374653
"GO355840.1" 1360.55595946425 -25.2229841803696 3.10474182544495 -8.12401983754472 4.50992003940676e-16 7.22424762883829e-13
"GO355852.1" 67.9540835560145 -7.46197907079671 2.40480219256486 -3.10294921298208 0.0019160251804209 0.0240353650064833
"GO355857.1" 59.8067080751994 7.35143775126164 2.24098002708694 3.28045661380472 0.00103639203523107 0.0173486140237347
"GO355861.1" 115.385238008246 6.60142058392909 1.83216751276818 3.60306606133144 0.00031448556084449 0.00881207587828793
"GO355873.1" 848.91073554462 -24.5803684089409 3.0807243796064 -7.97876258313031 1.47807566810222e-15 2.07170780830378e-12
"GO355890.1" 106.549083770538 -8.11177945431392 2.68009740009151 -3.02667337912307 0.00247260974439964 0.0272098714526828
"GO355892.1" 53.7004468447419 9.43762794260028 2.2699880502388 4.15756723547838 3.21654623625441e-05 0.00201421665196093
"GO355894.1" 215.949098035524 -9.13012312911918 2.38992980111439 -3.82024740846444 0.000133317875942128 0.00520593708058891
"GO355950.1" 387.201816685241 4.88109595804522 1.75414375038967 2.78260886940475 0.00539237702543841 0.0403436138440253
"GO356006.1" 4666.58972589269 10.6789878094 1.85224893302726 5.76541717421673 8.14560984680753e-09 1.63101291450452e-06
"GO356020.1" 40.9368826925214 -6.73084654764007 2.43741650354869 -2.76146753656607 0.00575422368451202 0.0412663209479313
"GO356035.1" 4550.9002944837 8.83151556926343 1.94351813182528 4.54408704742529 5.51738558257075e-06 0.000511292930060874
"GO356063.1" 51.0512513824338 -7.05084695170999 2.4903113612355 -2.83131140204569 0.00463575635028608 0.0375041384962178
"GO356069.1" 39.6661093572597 -6.68569769786869 2.43854998454078 -2.74166932818796 0.00611278449496913 0.0423141130515671
"GO356120.1" 36956.5747093835 8.3684058599565 1.95624848068954 4.27778267564803 1.88764173457496e-05 0.00132288292311181
"GO356124.1" 282.20890925834 6.5071969306126 1.81841048369471 3.57850825705263 0.000345560953024598 0.00920374101250551
"GO356146.1" 154.733594319852 6.28974467138631 1.91644840347616 3.28197965568895 0.0010308104198961 0.0173136654135081
"GO356178.1" 12.9909270647853 9.29273998421402 3.03759120133533 3.05924641213371 0.00221894555636198 0.0259447721829895
"GO356181.1" 906.432361975419 6.11078557238559 2.06280971278319 2.96236028680551 0.00305290323859555 0.0304694394324194
"GO356206.1" 46.806661789499 -6.9251020439233 2.43776995407242 -2.8407528907125 0.0045007172209229 0.0371350568051571
"GO356241.1" 116.334344511528 -21.8808011203528 2.99590265761362 -7.30357545654769 2.80219607906728e-13 1.25684098538326e-10
"GO356262.1" 700303.790204141 8.16915625511077 2.0604989340937 3.96464959041774 7.35038410502675e-05 0.00339176366130309
"GO356319.1" 5338.69744422496 5.54723090199479 1.98238926134528 2.7982551208083 0.0051379512486843 0.0393254930726943
"GO356419.1" 3047.63649069282 -26.3244618182196 3.14565111928601 -8.36852556751261 5.8343645955007e-17 1.63551825523373e-13
